DATE_ID,DATE_DAY,DATE_WEEK,DATE_MONTH,DATE_QUARTER,DATE_YEAR,DAY_OF_MONTH,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,DAY_OF_WEEK_ABBREVIATION,DAY_OF_WEEK_LETTER,WEEK_NUMBER,WEEK_NAME,WEEK_ABBREVIATION,WEEK_WITH_YEAR,WEEK_YEAR,WEEK_STARTED_ON,WEEK_ENDED_ON,MONTH_NUMBER,MONTH_NAME,MONTH_ABBREVIATION,MONTH_WITH_YEAR,MONTH_STARTED_ON,MONTH_ENDED_ON,QUARTER_NUMBER,DAY_OF_QUARTER,QUARTER_WITH_YEAR,QUARTER_NAME,QUARTER_ABBREVIATION,QUARTER_STARTED_ON,QUARTER_ENDED_ON,DAY_YEAR,DAY_OF_YEAR,YEAR_STARTED_ON,YEAR_ENDED_ON,IS_WEEKEND,IS_FEDERAL_HOLIDAY,IS_FLEETIO_HOLIDAY,HOLIDAY_NAME
2024-01-11,2024-01-11,2024-01-08,2024-01-01,2024-01-01,2024-01-01,11,4,Thursday,Thur,R,2,Week 2,W2,2024-02,2024,2024-01-08,2024-01-14,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,11,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,11,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-12,2024-01-12,2024-01-08,2024-01-01,2024-01-01,2024-01-01,12,5,Friday,Fri,F,2,Week 2,W2,2024-02,2024,2024-01-08,2024-01-14,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,12,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,12,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-13,2024-01-13,2024-01-08,2024-01-01,2024-01-01,2024-01-01,13,6,Saturday,Sat,S,2,Week 2,W2,2024-02,2024,2024-01-08,2024-01-14,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,13,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,13,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-01-14,2024-01-14,2024-01-08,2024-01-01,2024-01-01,2024-01-01,14,7,Sunday,Sun,S,2,Week 2,W2,2024-02,2024,2024-01-08,2024-01-14,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,14,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,14,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-01-15,2024-01-15,2024-01-15,2024-01-01,2024-01-01,2024-01-01,15,1,Monday,Mon,M,3,Week 3,W3,2024-03,2024,2024-01-15,2024-01-21,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,15,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,15,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-16,2024-01-16,2024-01-15,2024-01-01,2024-01-01,2024-01-01,16,2,Tuesday,Tue,T,3,Week 3,W3,2024-03,2024,2024-01-15,2024-01-21,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,16,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,16,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-17,2024-01-17,2024-01-15,2024-01-01,2024-01-01,2024-01-01,17,3,Wednesday,Wed,W,3,Week 3,W3,2024-03,2024,2024-01-15,2024-01-21,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,17,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,17,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-18,2024-01-18,2024-01-15,2024-01-01,2024-01-01,2024-01-01,18,4,Thursday,Thur,R,3,Week 3,W3,2024-03,2024,2024-01-15,2024-01-21,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,18,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,18,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-19,2024-01-19,2024-01-15,2024-01-01,2024-01-01,2024-01-01,19,5,Friday,Fri,F,3,Week 3,W3,2024-03,2024,2024-01-15,2024-01-21,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,19,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,19,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-20,2024-01-20,2024-01-15,2024-01-01,2024-01-01,2024-01-01,20,6,Saturday,Sat,S,3,Week 3,W3,2024-03,2024,2024-01-15,2024-01-21,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,20,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,20,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-01-21,2024-01-21,2024-01-15,2024-01-01,2024-01-01,2024-01-01,21,7,Sunday,Sun,S,3,Week 3,W3,2024-03,2024,2024-01-15,2024-01-21,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,21,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,21,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-01-22,2024-01-22,2024-01-22,2024-01-01,2024-01-01,2024-01-01,22,1,Monday,Mon,M,4,Week 4,W4,2024-04,2024,2024-01-22,2024-01-28,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,22,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,22,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-23,2024-01-23,2024-01-22,2024-01-01,2024-01-01,2024-01-01,23,2,Tuesday,Tue,T,4,Week 4,W4,2024-04,2024,2024-01-22,2024-01-28,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,23,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,23,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-24,2024-01-24,2024-01-22,2024-01-01,2024-01-01,2024-01-01,24,3,Wednesday,Wed,W,4,Week 4,W4,2024-04,2024,2024-01-22,2024-01-28,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,24,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,24,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-25,2024-01-25,2024-01-22,2024-01-01,2024-01-01,2024-01-01,25,4,Thursday,Thur,R,4,Week 4,W4,2024-04,2024,2024-01-22,2024-01-28,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,25,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,25,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-26,2024-01-26,2024-01-22,2024-01-01,2024-01-01,2024-01-01,26,5,Friday,Fri,F,4,Week 4,W4,2024-04,2024,2024-01-22,2024-01-28,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,26,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,26,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-27,2024-01-27,2024-01-22,2024-01-01,2024-01-01,2024-01-01,27,6,Saturday,Sat,S,4,Week 4,W4,2024-04,2024,2024-01-22,2024-01-28,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,27,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,27,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-01-28,2024-01-28,2024-01-22,2024-01-01,2024-01-01,2024-01-01,28,7,Sunday,Sun,S,4,Week 4,W4,2024-04,2024,2024-01-22,2024-01-28,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,28,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,28,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-01-29,2024-01-29,2024-01-29,2024-01-01,2024-01-01,2024-01-01,29,1,Monday,Mon,M,5,Week 5,W5,2024-05,2024,2024-01-29,2024-02-04,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,29,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,29,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-30,2024-01-30,2024-01-29,2024-01-01,2024-01-01,2024-01-01,30,2,Tuesday,Tue,T,5,Week 5,W5,2024-05,2024,2024-01-29,2024-02-04,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,30,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,30,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-01-31,2024-01-31,2024-01-29,2024-01-01,2024-01-01,2024-01-01,31,3,Wednesday,Wed,W,5,Week 5,W5,2024-05,2024,2024-01-29,2024-02-04,1,January,Jan,2024-01,2024-01-01,2024-01-31,1,31,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,31,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-01,2024-02-01,2024-01-29,2024-02-01,2024-01-01,2024-01-01,1,4,Thursday,Thur,R,5,Week 5,W5,2024-05,2024,2024-01-29,2024-02-04,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,32,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,32,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-02,2024-02-02,2024-01-29,2024-02-01,2024-01-01,2024-01-01,2,5,Friday,Fri,F,5,Week 5,W5,2024-05,2024,2024-01-29,2024-02-04,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,33,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,33,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-03,2024-02-03,2024-01-29,2024-02-01,2024-01-01,2024-01-01,3,6,Saturday,Sat,S,5,Week 5,W5,2024-05,2024,2024-01-29,2024-02-04,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,34,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,34,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-02-04,2024-02-04,2024-01-29,2024-02-01,2024-01-01,2024-01-01,4,7,Sunday,Sun,S,5,Week 5,W5,2024-05,2024,2024-01-29,2024-02-04,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,35,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,35,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-02-05,2024-02-05,2024-02-05,2024-02-01,2024-01-01,2024-01-01,5,1,Monday,Mon,M,6,Week 6,W6,2024-06,2024,2024-02-05,2024-02-11,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,36,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,36,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-06,2024-02-06,2024-02-05,2024-02-01,2024-01-01,2024-01-01,6,2,Tuesday,Tue,T,6,Week 6,W6,2024-06,2024,2024-02-05,2024-02-11,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,37,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,37,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-07,2024-02-07,2024-02-05,2024-02-01,2024-01-01,2024-01-01,7,3,Wednesday,Wed,W,6,Week 6,W6,2024-06,2024,2024-02-05,2024-02-11,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,38,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,38,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-08,2024-02-08,2024-02-05,2024-02-01,2024-01-01,2024-01-01,8,4,Thursday,Thur,R,6,Week 6,W6,2024-06,2024,2024-02-05,2024-02-11,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,39,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,39,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-09,2024-02-09,2024-02-05,2024-02-01,2024-01-01,2024-01-01,9,5,Friday,Fri,F,6,Week 6,W6,2024-06,2024,2024-02-05,2024-02-11,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,40,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,40,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-10,2024-02-10,2024-02-05,2024-02-01,2024-01-01,2024-01-01,10,6,Saturday,Sat,S,6,Week 6,W6,2024-06,2024,2024-02-05,2024-02-11,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,41,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,41,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-02-11,2024-02-11,2024-02-05,2024-02-01,2024-01-01,2024-01-01,11,7,Sunday,Sun,S,6,Week 6,W6,2024-06,2024,2024-02-05,2024-02-11,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,42,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,42,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-02-12,2024-02-12,2024-02-12,2024-02-01,2024-01-01,2024-01-01,12,1,Monday,Mon,M,7,Week 7,W7,2024-07,2024,2024-02-12,2024-02-18,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,43,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,43,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-13,2024-02-13,2024-02-12,2024-02-01,2024-01-01,2024-01-01,13,2,Tuesday,Tue,T,7,Week 7,W7,2024-07,2024,2024-02-12,2024-02-18,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,44,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,44,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-14,2024-02-14,2024-02-12,2024-02-01,2024-01-01,2024-01-01,14,3,Wednesday,Wed,W,7,Week 7,W7,2024-07,2024,2024-02-12,2024-02-18,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,45,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,45,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-15,2024-02-15,2024-02-12,2024-02-01,2024-01-01,2024-01-01,15,4,Thursday,Thur,R,7,Week 7,W7,2024-07,2024,2024-02-12,2024-02-18,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,46,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,46,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-16,2024-02-16,2024-02-12,2024-02-01,2024-01-01,2024-01-01,16,5,Friday,Fri,F,7,Week 7,W7,2024-07,2024,2024-02-12,2024-02-18,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,47,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,47,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-17,2024-02-17,2024-02-12,2024-02-01,2024-01-01,2024-01-01,17,6,Saturday,Sat,S,7,Week 7,W7,2024-07,2024,2024-02-12,2024-02-18,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,48,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,48,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-02-18,2024-02-18,2024-02-12,2024-02-01,2024-01-01,2024-01-01,18,7,Sunday,Sun,S,7,Week 7,W7,2024-07,2024,2024-02-12,2024-02-18,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,49,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,49,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-02-19,2024-02-19,2024-02-19,2024-02-01,2024-01-01,2024-01-01,19,1,Monday,Mon,M,8,Week 8,W8,2024-08,2024,2024-02-19,2024-02-25,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,50,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,50,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-20,2024-02-20,2024-02-19,2024-02-01,2024-01-01,2024-01-01,20,2,Tuesday,Tue,T,8,Week 8,W8,2024-08,2024,2024-02-19,2024-02-25,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,51,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,51,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-21,2024-02-21,2024-02-19,2024-02-01,2024-01-01,2024-01-01,21,3,Wednesday,Wed,W,8,Week 8,W8,2024-08,2024,2024-02-19,2024-02-25,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,52,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,52,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-22,2024-02-22,2024-02-19,2024-02-01,2024-01-01,2024-01-01,22,4,Thursday,Thur,R,8,Week 8,W8,2024-08,2024,2024-02-19,2024-02-25,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,53,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,53,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-23,2024-02-23,2024-02-19,2024-02-01,2024-01-01,2024-01-01,23,5,Friday,Fri,F,8,Week 8,W8,2024-08,2024,2024-02-19,2024-02-25,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,54,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,54,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-24,2024-02-24,2024-02-19,2024-02-01,2024-01-01,2024-01-01,24,6,Saturday,Sat,S,8,Week 8,W8,2024-08,2024,2024-02-19,2024-02-25,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,55,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,55,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-02-25,2024-02-25,2024-02-19,2024-02-01,2024-01-01,2024-01-01,25,7,Sunday,Sun,S,8,Week 8,W8,2024-08,2024,2024-02-19,2024-02-25,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,56,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,56,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-02-26,2024-02-26,2024-02-26,2024-02-01,2024-01-01,2024-01-01,26,1,Monday,Mon,M,9,Week 9,W9,2024-09,2024,2024-02-26,2024-03-03,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,57,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,57,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-27,2024-02-27,2024-02-26,2024-02-01,2024-01-01,2024-01-01,27,2,Tuesday,Tue,T,9,Week 9,W9,2024-09,2024,2024-02-26,2024-03-03,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,58,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,58,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-28,2024-02-28,2024-02-26,2024-02-01,2024-01-01,2024-01-01,28,3,Wednesday,Wed,W,9,Week 9,W9,2024-09,2024,2024-02-26,2024-03-03,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,59,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,59,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-02-29,2024-02-29,2024-02-26,2024-02-01,2024-01-01,2024-01-01,29,4,Thursday,Thur,R,9,Week 9,W9,2024-09,2024,2024-02-26,2024-03-03,2,February,Feb,2024-02,2024-02-01,2024-02-29,1,60,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,60,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-03-01,2024-03-01,2024-02-26,2024-03-01,2024-01-01,2024-01-01,1,5,Friday,Fri,F,9,Week 9,W9,2024-09,2024,2024-02-26,2024-03-03,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,61,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,61,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-03-02,2024-03-02,2024-02-26,2024-03-01,2024-01-01,2024-01-01,2,6,Saturday,Sat,S,9,Week 9,W9,2024-09,2024,2024-02-26,2024-03-03,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,62,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,62,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-03-03,2024-03-03,2024-02-26,2024-03-01,2024-01-01,2024-01-01,3,7,Sunday,Sun,S,9,Week 9,W9,2024-09,2024,2024-02-26,2024-03-03,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,63,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,63,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-03-04,2024-03-04,2024-03-04,2024-03-01,2024-01-01,2024-01-01,4,1,Monday,Mon,M,10,Week 10,W10,2024-10,2024,2024-03-04,2024-03-10,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,64,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,64,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-03-05,2024-03-05,2024-03-04,2024-03-01,2024-01-01,2024-01-01,5,2,Tuesday,Tue,T,10,Week 10,W10,2024-10,2024,2024-03-04,2024-03-10,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,65,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,65,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-03-06,2024-03-06,2024-03-04,2024-03-01,2024-01-01,2024-01-01,6,3,Wednesday,Wed,W,10,Week 10,W10,2024-10,2024,2024-03-04,2024-03-10,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,66,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,66,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-03-07,2024-03-07,2024-03-04,2024-03-01,2024-01-01,2024-01-01,7,4,Thursday,Thur,R,10,Week 10,W10,2024-10,2024,2024-03-04,2024-03-10,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,67,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,67,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-03-08,2024-03-08,2024-03-04,2024-03-01,2024-01-01,2024-01-01,8,5,Friday,Fri,F,10,Week 10,W10,2024-10,2024,2024-03-04,2024-03-10,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,68,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,68,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-03-09,2024-03-09,2024-03-04,2024-03-01,2024-01-01,2024-01-01,9,6,Saturday,Sat,S,10,Week 10,W10,2024-10,2024,2024-03-04,2024-03-10,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,69,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,69,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-03-10,2024-03-10,2024-03-04,2024-03-01,2024-01-01,2024-01-01,10,7,Sunday,Sun,S,10,Week 10,W10,2024-10,2024,2024-03-04,2024-03-10,3,March,Mar,2024-03,2024-03-01,2024-03-31,1,70,2024-1,Quarter 1,Q1,2024-01-01,2024-03-31,2024,70,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
